sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Speed
241,-52.0,-973.0,33.0,56.0,-39.0,8.0,0.68
242,-35.0,-984.0,29.0,43.0,-37.0,-30.0,0.68
243,-58.0,-993.0,27.0,74.0,-53.0,116.0,0.79
244,-155.0,-1273.0,-35.0,244.0,-105.0,-206.0,0.79
245,-196.0,-1326.0,-50.0,381.0,-132.0,-270.0,0.79
246,-299.0,-1231.0,10.0,525.0,-179.0,-335.0,0.79
247,-37.0,-1223.0,-5.0,616.0,-321.0,-357.0,0.79
248,-62.0,-1190.0,-15.0,694.0,-307.0,-386.0,0.79
249,364.0,-1334.0,-17.0,733.0,-252.0,-625.0,0.79
250,18.0,-1650.0,-38.0,800.0,69.0,-1108.0,0.79
251,127.0,-1959.0,-335.0,992.0,226.0,-1538.0,0.79
252,-1018.0,-1959.0,-308.0,1380.0,385.0,-1775.0,0.79
253,-485.0,-1959.0,-457.0,2011.0,-131.0,-1376.0,0.79
254,-191.0,-1959.0,-500.0,2684.0,-228.0,-1714.0,0.79
255,61.0,-1959.0,-626.0,3672.0,-295.0,-2343.0,0.79
256,-734.0,276.0,-811.0,-126.0,2488.0,2076.0,0.79
257,-808.0,-33.0,-732.0,-974.0,1617.0,2632.0,0.79
258,-676.0,-129.0,-662.0,-1185.0,1176.0,2568.0,0.79
259,-570.0,-103.0,-617.0,-1319.0,781.0,2363.0,0.79
260,-433.0,-29.0,-592.0,-1491.0,402.0,2158.0,0.79
261,-228.0,-106.0,-571.0,-1744.0,75.0,1967.0,0.79
262,-67.0,-285.0,-546.0,-1988.0,-160.0,1796.0,0.79
263,-27.0,-856.0,-257.0,-2724.0,-996.0,939.0,0.79
264,514.0,-1772.0,202.0,-2626.0,-1489.0,380.0,0.79
265,508.0,-1699.0,250.0,-2445.0,-1421.0,539.0,0.79
266,473.0,-1436.0,282.0,-2355.0,-1338.0,430.0,0.79
267,391.0,-1173.0,300.0,-2480.0,-1280.0,60.0,0.79
268,307.0,-1417.0,294.0,-2759.0,-1297.0,-407.0,0.79
269,273.0,-1817.0,338.0,-2840.0,-1386.0,-606.0,0.79
270,274.0,-1893.0,429.0,-2629.0,-1488.0,-552.0,0.79
271,389.0,-1803.0,532.0,-2316.0,-1555.0,-487.0,0.79
272,582.0,-1703.0,630.0,-2036.0,-1524.0,-499.0,0.79
273,182.0,-1111.0,-555.0,2588.0,95.0,30.0,0.79
274,-72.0,-1177.0,-269.0,2717.0,-77.0,383.0,0.79
275,-283.0,-999.0,-15.0,2792.0,-256.0,501.0,0.79
276,-215.0,-856.0,163.0,2592.0,-400.0,351.0,0.79
277,50.0,-860.0,216.0,2205.0,-362.0,224.0,0.79
278,-32.0,-943.0,144.0,1794.0,-153.0,210.0,0.45
279,-178.0,-1005.0,57.0,1512.0,-27.0,169.0,0.45
280,-179.0,-1065.0,-5.0,1338.0,-42.0,76.0,0.45
281,2.0,-988.0,30.0,1247.0,-112.0,64.0,0.45
282,-38.0,-1035.0,-37.0,1124.0,-101.0,181.0,0.45
283,-109.0,-988.0,-41.0,1108.0,-97.0,259.0,0.45
284,-19.0,-716.0,183.0,1119.0,-114.0,294.0,0.45
285,54.0,-634.0,261.0,876.0,-81.0,366.0,0.45
286,-112.0,-1010.0,24.0,86.0,-50.0,-29.0,0.45
287,-119.0,-991.0,33.0,92.0,-52.0,-25.0,0.45
288,-140.0,-982.0,39.0,88.0,-54.0,-33.0,0.45
289,-138.0,-988.0,34.0,77.0,-60.0,-64.0,0.45
