sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Speed
213,544.0,-183.0,-516.0,1085.0,1534.0,-377.0,0.0
214,-97.0,-94.0,-686.0,558.0,1883.0,241.0,0.0
215,96.0,-120.0,-781.0,67.0,1871.0,695.0,0.0
216,-10.0,-493.0,-685.0,-200.0,1968.0,909.0,0.0
217,-208.0,-201.0,-633.0,-289.0,1973.0,829.0,0.0
218,-354.0,19.0,-607.0,-533.0,1819.0,604.0,0.0
219,-546.0,-111.0,-588.0,-909.0,1563.0,419.0,0.0
220,-602.0,-243.0,-550.0,-1215.0,1185.0,346.0,0.0
221,-508.0,-318.0,-516.0,-1437.0,764.0,281.0,0.0
222,-357.0,-348.0,-490.0,-1619.0,401.0,119.0,0.0
223,-214.0,-382.0,-470.0,-1803.0,126.0,-106.0,0.0
224,18.0,-536.0,-406.0,-2180.0,-178.0,-377.0,0.0
225,74.0,-1493.0,101.0,-2936.0,450.0,-440.0,0.0
226,-3.0,-1578.0,139.0,-2936.0,453.0,-476.0,0.0
227,-128.0,-1643.0,172.0,-2884.0,400.0,-549.0,0.0
228,-259.0,-1711.0,191.0,-2781.0,275.0,-633.0,0.0
229,-361.0,-1710.0,209.0,-2634.0,84.0,-699.0,0.0
230,-409.0,-1659.0,214.0,-2485.0,-151.0,-712.0,0.0
231,-394.0,-1617.0,220.0,-2364.0,-397.0,-692.0,0.0
232,-338.0,-1530.0,239.0,-2268.0,-622.0,-674.0,0.0
233,-266.0,-1326.0,270.0,-2233.0,-804.0,-734.0,0.0
